valid_time,latitude,longitude,number,expver,tp
2010-01-01,18.700000000000834,102.29999999999846,0,0001,0.0041120583
2010-01-01,18.700000000000834,102.39999999999846,0,0001,0.004081675
2010-01-01,18.700000000000834,102.49999999999845,0,0001,0.0042455727
2010-01-01,18.700000000000834,102.59999999999845,0,0001,0.004417532
2010-01-01,18.700000000000834,102.69999999999844,0,0001,0.004590825
2010-01-01,18.700000000000834,102.79999999999843,0,0001,0.0047483826
2010-01-01,18.700000000000834,102.89999999999843,0,0001,0.0049039135
2010-01-01,18.600000000000833,102.29999999999846,0,0001,0.0039968276
2010-01-01,18.600000000000833,102.39999999999846,0,0001,0.003935733
2010-01-01,18.600000000000833,102.49999999999845,0,0001,0.00399799
2010-01-01,18.600000000000833,102.59999999999845,0,0001,0.0040816525
2010-01-01,18.600000000000833,102.69999999999844,0,0001,0.004203626
2010-01-01,18.600000000000833,102.79999999999843,0,0001,0.0043673003
2010-01-01,18.600000000000833,102.89999999999843,0,0001,0.004541979
2010-01-01,18.50000000000083,102.29999999999846,0,0001,0.0038337715
2010-01-01,18.50000000000083,102.39999999999846,0,0001,0.0037221543
2010-01-01,18.50000000000083,102.49999999999845,0,0001,0.0036920242
2010-01-01,18.50000000000083,102.59999999999845,0,0001,0.0036779798
2010-01-01,18.50000000000083,102.69999999999844,0,0001,0.003726349
2010-01-01,18.50000000000083,102.79999999999843,0,0001,0.0038632832
2010-01-01,18.50000000000083,102.89999999999843,0,0001,0.0040003145
2010-01-01,18.40000000000083,102.29999999999846,0,0001,0.0037225566
2010-01-01,18.40000000000083,102.39999999999846,0,0001,0.0035584203
2010-01-01,18.40000000000083,102.49999999999845,0,0001,0.0034373186
2010-01-01,18.40000000000083,102.59999999999845,0,0001,0.0033209554
2010-01-01,18.40000000000083,102.69999999999844,0,0001,0.003297799
2010-01-01,18.40000000000083,102.79999999999843,0,0001,0.0034112788
2010-01-01,18.40000000000083,102.89999999999843,0,0001,0.003524848
2010-01-01,18.30000000000083,102.29999999999846,0,0001,0.0038076795
2010-01-01,18.30000000000083,102.39999999999846,0,0001,0.0035962097
2010-01-01,18.30000000000083,102.49999999999845,0,0001,0.0033635728
2010-01-01,18.30000000000083,102.59999999999845,0,0001,0.0031361885
2010-01-01,18.30000000000083,102.69999999999844,0,0001,0.0030522353
2010-01-01,18.30000000000083,102.79999999999843,0,0001,0.0031434007
2010-01-01,18.30000000000083,102.89999999999843,0,0001,0.0032347671
2010-01-01,18.200000000000827,102.29999999999846,0,0001,0.0039206157
2010-01-01,18.200000000000827,102.39999999999846,0,0001,0.0036666326
