Latitude,Longitude,Elevation,Slope,Aspect,Curvature,TWI,SPI,DTR,Soil_Type,NDVI,LULC,Rainfall,Flood_Class
18.6998244098633,103.09609743676587,2,1,0,2,1,1,4,4,3,10,2,1
18.51548963141489,102.68350127539158,0,0,0,1,4,0,0,4,0,80,0,1
18.58933234485996,102.87268755578611,1,2,3,0,0,1,2,4,1,10,1,1
18.59499094409678,102.92443096441028,2,2,2,0,3,3,2,4,1,10,1,1
18.56103488957478,102.97670946516092,0,1,0,2,2,0,0,4,2,10,1,1
18.549178139873675,102.80638964132348,0,1,2,2,4,4,0,4,0,10,1,1
18.449463722116523,102.63310451528552,0,0,0,1,4,0,0,4,0,80,0,1
18.55133188568249,103.1154989854494,1,2,3,2,3,3,0,4,1,10,2,1
18.72354236836657,103.03357192179443,2,2,3,2,2,3,2,4,4,10,2,1
18.47937983108409,102.67703111976304,0,0,3,0,4,0,0,4,0,40,0,1
18.604961494052283,103.13787029543454,2,1,3,0,1,1,1,4,4,10,2,1
18.520880684588505,102.56168755281352,0,0,0,1,4,0,2,4,0,80,0,1
18.64889255763084,103.08208248215487,0,0,2,0,4,4,3,4,0,10,2,1
18.462399574272567,102.67999642196357,0,0,4,2,3,2,0,4,1,10,0,1
18.58205509194073,102.8540886452922,1,0,3,2,3,0,0,4,1,10,1,1
18.68149750453363,102.87969280354108,4,4,3,2,0,3,4,4,0,10,1,1
18.520880684588505,102.90017345467956,1,1,4,2,3,1,3,4,1,10,1,1
18.526271737762126,102.95568926279496,1,2,4,2,1,3,4,4,3,10,1,1
18.632719398109984,102.87672750134053,1,0,2,0,2,0,1,4,0,10,1,1
18.499320930995097,102.69589757632016,1,2,3,0,1,1,4,4,2,10,0,1
18.55375763665556,102.68996697191906,0,0,0,1,4,0,2,4,0,80,0,1
18.57424274689509,102.87484130159494,1,0,3,2,4,4,4,4,2,10,1,1
18.57585694147644,102.99557592171804,0,3,2,0,0,2,2,4,3,10,1,1
18.68338370427924,103.09798363651146,1,2,3,0,2,3,0,4,4,10,2,1
18.70898786252812,103.03707677522245,1,2,3,0,4,4,1,4,2,40,2,1
18.53624228771763,102.62636681359376,0,0,0,1,4,0,1,4,0,80,0,1
18.52384598678905,102.6452332701509,0,0,0,1,4,0,0,4,0,80,0,1
18.60010999210613,102.95380306304936,2,3,0,2,0,2,2,4,2,10,1,1
18.534356087972025,102.619629111902,0,0,0,1,4,0,3,4,0,80,0,1
18.552950539364893,103.05109172983344,0,0,3,0,4,2,0,4,0,40,2,1
18.55537629033797,102.79507244284984,0,2,0,2,1,1,3,4,2,10,1,1
18.491776132012667,102.60642571368275,0,0,0,1,4,0,4,4,0,30,0,1
18.611431649680835,102.84735540270148,0,0,0,0,3,0,0,4,2,10,1,1
18.72030506100177,103.11118703473072,3,1,4,0,4,4,0,4,4,10,2,1
18.574777839021507,103.08208248215487,1,3,2,2,0,2,2,4,3,10,2,1
