X,Y,id,SAMPLE_1
102.850776796349,19.1361717160878,0,10
102.979718923799,18.9968480687631,1,10
102.750471476989,19.3560007115178,2,10
103.235451785614,18.5338706501166,3,10
103.088722431453,19.4426762266343,4,30
103.189363578314,18.7584815942566,5,10
103.294324159435,19.4717794825575,6,40
102.854757746555,18.6958482924872,7,10
103.005658460343,18.5381576829323,8,10
102.833696336584,19.0836003204516,9,10
103.201971788497,18.7185563249848,10,30
102.492318382168,19.3462443398486,11,30
103.394736836353,19.3179943592402,12,40
102.306276670761,18.9278156709413,13,10
103.413913742265,18.7442225254837,14,10
103.338198331798,19.3823552720993,15,10
103.379981870139,19.0824412217774,16,10
103.185461514564,18.6534447464709,17,10
102.943038627119,19.0750181807165,18,10
102.484637795915,19.3455212235779,19,10
102.716510240835,19.1448661197195,20,10
102.344171124073,18.5416507046473,21,10
103.262712158301,19.3110139903674,22,10
102.851749897369,19.35753368408,23,10
103.409172001267,18.9374405476511,24,10
103.433145456835,19.3797816619744,25,10
103.092314132466,19.3056939441291,26,10
103.444021443448,18.8669994160018,27,10
103.087388519922,19.2897305412355,28,10
102.340459403673,18.6936350262268,29,10
102.412509239994,18.6475942356301,30,10
102.510836191818,19.2303362627764,31,10
102.257314842428,18.5254892865913,32,10
102.435028384187,18.5234073001558,33,40
102.407880492019,19.2098929693685,34,10
103.247866344885,18.5614550433223,35,10
102.375432780739,19.380774072064,36,10
103.281583017057,19.0037852374096,37,10
102.255147869336,18.5352049279159,38,10
103.311317865702,19.0031625506522,39,10
102.270868775499,18.7501759668249,40,10
102.84808034366,18.5656449905767,41,10
102.431602430689,19.4464532199072,42,10
103.356041411744,19.0805494235246,43,10
102.586883115483,18.778338794902,44,10
102.915382791607,18.5164296883336,45,10
103.007331873648,19.4030725597164,46,10
102.498407444084,18.560239778015,47,30
102.640688508595,18.80825683552,48,10
103.090945401588,18.7959343134816,49,10
102.967836312673,19.259811353421,50,10
103.04983041773,19.019073239111,51,10
102.409781052681,19.4974934692456,52,30
102.57924813349,18.7328839559646,53,30
103.371276208247,19.4464665799811,54,10
103.38074737963,19.4432056357723,55,10
103.181432710372,18.8691674197118,56,10
103.00745840564,19.2707459716086,57,10
102.483365954206,19.0928200253631,58,10
102.307693375646,18.908487730661,59,10
102.615138200655,18.5861751128969,60,80
102.764691614289,18.8817412169075,61,10
102.706587960998,18.5722184118933,62,30
102.994650198687,19.4294885650661,63,10
103.144273535082,18.8854235776639,64,10
102.339578665064,19.0520165692039,65,10
102.37375611574,19.203922054515,66,10
102.414250190883,18.6584631221313,67,10
102.84311720034,19.0370449517824,68,30
102.338158831278,18.8651978737279,69,10
102.550359184514,19.3635627380366,70,30
102.28911315377,18.8349152577792,71,10
102.35154135625,19.4624340332462,72,10
103.015995050084,19.0864498227256,73,40
103.458406158106,19.0166263720396,74,30
103.381715202092,18.6630348835094,75,10
