X,Y,id,Elevation
103.09609743676587,18.6998244098633,1,763
102.68350127539158,18.515489631414894,2,208
102.87268755578611,18.58933234485996,3,459
102.92443096441028,18.59499094409678,4,818
102.97670946516092,18.56103488957478,5,356
102.80638964132348,18.549178139873675,6,214
102.63310451528552,18.449463722116523,7,208
103.1154989854494,18.55133188568249,8,499
103.03357192179443,18.72354236836657,9,880
102.67703111976304,18.47937983108409,10,211
103.13787029543454,18.604961494052283,11,878
102.56168755281352,18.520880684588505,12,208
103.08208248215487,18.648892557630838,13,302
102.67999642196357,18.462399574272567,14,255
102.8540886452922,18.58205509194073,15,526
102.87969280354108,18.68149750453363,16,1611
102.90017345467956,18.520880684588505,17,553
102.95568926279496,18.526271737762126,18,606
102.87672750134053,18.632719398109984,19,533
102.69589757632016,18.499320930995097,20,549
102.68996697191906,18.55375763665556,21,208
102.87484130159494,18.57424274689509,22,528
102.99557592171804,18.57585694147644,23,406
103.09798363651146,18.68338370427924,24,458
103.03707677522245,18.70898786252812,25,503
102.62636681359376,18.53624228771763,26,208
102.6452332701509,18.52384598678905,27,208
102.95380306304936,18.60010999210613,28,845
102.619629111902,18.534356087972025,29,208
103.05109172983344,18.552950539364893,30,228
102.79507244284984,18.55537629033797,31,244
102.60642571368275,18.491776132012667,32,208
102.84735540270148,18.611431649680835,33,307
103.11118703473072,18.72030506100177,34,1153
103.08208248215487,18.574777839021507,35,501
102.6215153116476,18.522766884334118,36,208
102.6298716670218,18.538396033526443,37,208
103.1152314393862,18.549717691101144,38,412
102.59214321300855,18.47398877791047,39,283
102.7538391354086,18.52114823065171,40,229
102.65385717158829,18.544059091864323,41,208
102.90475741056252,18.63164475475611,42,580
103.12250869230542,18.72273081197485,43,1395
103.07022573245376,18.673685159487995,44,379
102.94598625890264,18.57424274689509,45,808
102.80989449475148,18.51980158213357,46,761
102.83441955054543,18.64700189878417,47,432
102.58917791080805,18.537860941400037,48,208
102.99961586727244,18.546752388900604,49,226
103.12466243811424,18.532197883062157,50,704
102.8751133067592,18.59418384680611,51,414
102.69751623000252,18.43329502169673,52,1083
103.0758843316906,18.67233851096985,53,412
102.62825301333936,18.48854328374892,54,208
102.91391640412628,18.60010999210613,55,496
