threshold,accuracy,f1
0.5000000000000002,0.959409594095941,0.9568627450980393
0.5100000000000002,0.959409594095941,0.9568627450980393
0.6200000000000003,0.959409594095941,0.9558232931726908
0.6300000000000003,0.959409594095941,0.9558232931726908
0.5200000000000002,0.955719557195572,0.952755905511811
0.5300000000000002,0.955719557195572,0.952755905511811
0.5400000000000003,0.955719557195572,0.952755905511811
0.5500000000000003,0.955719557195572,0.952755905511811
0.5600000000000003,0.955719557195572,0.952755905511811
0.5700000000000003,0.955719557195572,0.9523809523809523
0.5800000000000003,0.955719557195572,0.9523809523809523
0.5900000000000003,0.955719557195572,0.9523809523809523
0.6100000000000003,0.955719557195572,0.952
0.6400000000000003,0.955719557195572,0.9516129032258065
0.6500000000000004,0.955719557195572,0.9516129032258065
0.4100000000000001,0.9520295202952029,0.9501915708812261
0.46000000000000013,0.9520295202952029,0.9498069498069498
0.49000000000000016,0.9520295202952029,0.9494163424124513
0.6000000000000003,0.9520295202952029,0.9482071713147411
0.6600000000000004,0.9520295202952029,0.9473684210526315
0.4000000000000001,0.948339483394834,0.9465648854961832
0.4200000000000001,0.948339483394834,0.9461538461538461
0.4300000000000001,0.948339483394834,0.9461538461538461
0.4400000000000001,0.948339483394834,0.9461538461538461
0.4500000000000001,0.948339483394834,0.9461538461538461
0.47000000000000014,0.948339483394834,0.9457364341085271
0.48000000000000015,0.948339483394834,0.9457364341085271
0.33,0.9446494464944649,0.9433962264150944
0.34,0.9446494464944649,0.9433962264150944
0.35000000000000003,0.9446494464944649,0.9433962264150944
0.36000000000000004,0.9446494464944649,0.9433962264150944
0.6700000000000004,0.948339483394834,0.943089430894309
0.6800000000000004,0.948339483394834,0.943089430894309
0.39000000000000007,0.9446494464944649,0.9429657794676806
0.7000000000000004,0.948339483394834,0.9426229508196722
0.37000000000000005,0.940959409594096,0.9393939393939394
0.38000000000000006,0.940959409594096,0.9393939393939394
0.6900000000000004,0.9446494464944649,0.9387755102040817
0.32,0.9372693726937269,0.9363295880149812
0.3,0.9298892988929889,0.929368029739777
0.31,0.9298892988929889,0.929368029739777
